id,name
1,Pennypack Park
2,Overbrook
3,Germantown Southwest
4,East Parkside
5,Germany Hill
6,Mount Airy East
7,Mechanicsville
8,Dearnley Park
9,Wissahickon Hills
10,Wissinoming
11,Bella Vista
12,Allegheny West
13,Glenwood
14,Greenwich
15,Francisville
16,Penrose
17,Powelton
18,Garden Court
19,Belmont
20,Normandy Village
21,Pennsport
22,Stanton
23,West Oak Lane
24,Winchester Park
25,Burholme
26,Fern Rock
27,Dunlap
28,Melrose Park Gardens
29,Franklinville
30,Hawthorne
31,Bartram Village
32,East Poplar
33,Bustleton
34,Cedarbrook
35,Ludlow
36,Bridesburg
37,East Falls
38,North Central
39,Port Richmond
40,Grays Ferry
41,Frankford
42,Chestnut Hill
43,Olney
44,Mount Airy West
45,Somerton
46,Mantua
47,Northeast Airport
48,Modena
49,Roxborough Park
50,Wissahickon Park
51,Morrell Park
52,Riverfront
53,Pennypack
54,Byberry
55,West Torresdale
56,Yorktown
57,Parkwood Manor
58,Aston Woodbridge
59,Franklin Mills
60,Pennypack Woods
61,Millbrook
62,Crestmont Farms
63,Academy Gardens
64,Torresdale
65,Lexington Park
66,Rhawnhurst
67,Fox Chase
68,Oxford Circle
69,Summerdale
70,Crescentville
71,Lawndale
72,Sharswood
73,Passyunk Square
74,Northwood
75,Holmesburg
76,Mayfair
77,Tacony
78,Hartranft
79,Andorra
80,Manayunk
81,Upper Roxborough
82,Roxborough
83,Nicetown
84,Wissahickon
85,Dickinson Narrows
86,Germantown East
87,Germantown Morton
88,Old Kensington
89,Germantown West Cent
90,Germantown Penn Knox
91,Germantown Westside
92,Ogontz
93,Wister
94,Tioga
95,East Oak Lane
96,Feltonville
97,Fairhill
98,Richmond
99,Hunting Park
100,Juniata Park
101,Brewerytown
102,Harrowgate
103,Upper Kensington
104,Mcguire
105,West Kensington
106,Fishtown
107,Northern Liberties
108,Logan
109,Society Hill
110,Old City
111,Chinatown
112,Center City
113,Washington Square
114,Fairmount
115,Spring Garden
116,Logan Square
117,Rittenhouse
118,Fitler Square
119,Graduate Hospital
120,Point Breeze
121,Queen Village
122,Lower Moyamensing
123,Whitman
124,Industrial
125,Southwest Schuylkill
126,Clearview
127,West Parkside
128,Mill Creek
129,Airport
130,Paschall
131,Spruce Hill
132,West Powelton
133,Kingsessing
134,University City
135,Haddington
136,Carroll Park
137,Haverford North
138,Wynnefield Heights
139,Cobbs Creek
140,Walnut Hill
141,Cedar Park
142,Woodland Terrace
143,Callowhill
144,West Poplar
145,Strawberry Mansion
146,Packer Park
147,East Park
148,Wynnefield
149,West Passyunk
150,East Passyunk
151,Newbold
152,West Park
153,Stadium District
154,Navy Yard
155,East Kensington
156,Elmwood
157,Girard Estates
158,Eastwick
